,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,label
676,-0.517,-1.162,0.764,7.707,-3.743,-2.781,3.72,-1.769,4.494,-2.273,-0.816,-0.704,2.715,-0.378,,,-16.446815,A
677,,1.35,-4.519,-1.233,-1.352,1.855,-0.926,-0.742,-0.061,0.366,0.819,1.168,,0.112,,-0.31672183,4.9476094,G
678,-2.195,-0.047,2.955,-0.387,3.388,0.273,-3.69,-2.354,-0.724,-1.205,-0.602,-0.802,1.362,-0.788,-0.4075758,0.13278264,-0.3962494,E
679,10.722,,-2.311,-3.713,2.091,0.56,0.06,-0.862,1.21,1.383,,1.724,-0.054,1.036,-7.791783,-2.3670697,4.5189342,A
680,,-2.907,-1.319,,-4.19,0.467,1.092,1.776,,1.941,,0.25,-2.59,-0.551,0.7283151,0.8665217,-2.7638187,A
681,-6.55,0.071,-2.034,-2.736,1.268,,0.728,0.257,-2.672,,,-1.964,-0.404,0.627,-5.153856,-1.4423738,2.0947247,G
682,-4.002,0.228,1.089,-0.835,,2.02,-0.385,1.398,,1.832,-3.471,2.16,2.173,-2.149,0.72819257,2.2590175,-4.3471894,B
683,-0.468,-0.093,,,,3.033,1.584,-2.911,,1.402,-0.875,1.015,,-1.907,,-0.16303459,5.02155,B
684,,-0.408,,-1.744,-0.499,2.052,1.926,-0.089,-0.375,0.955,1.753,-1.672,2.729,-0.67,-6.446738,-1.1006695,7.837144,G
685,,1.365,,-0.956,-0.515,-0.965,1.951,-2.463,0.83,1.212,-2.683,,-0.421,-2.61,0.71969354,-0.10564339,-4.476839,E
686,1.23,6.155,0.347,-2.513,,,0.765,0.705,1.087,-2.858,-0.036,-0.902,-0.729,-1.078,-5.94951,,4.4709644,G
687,-1.453,3.849,-3.237,-1.664,-1.573,1.996,-0.577,1.395,1.329,-0.686,,1.026,-0.169,-0.74,-5.9680314,-0.9258957,7.0900574,G
688,1.932,,-5.213,0.845,1.905,0.011,-1.141,0.119,0.749,0.765,-0.803,1.025,0.529,-0.741,2.730183,,-3.050479,G
689,,-0.987,0.133,,-1.729,-2.405,0.612,-0.247,-1.599,2.088,2.214,-1.979,2.706,-1.042,,,4.469653,B
690,,,0.871,11.721,-0.446,0.55,4.555,,-2.035,-3.081,0.228,-1.179,0.138,-1.152,,10.423512,-18.920986,A
691,-4.138,,-4.748,-1.63,-1.818,2.333,-0.086,,0.542,-0.179,-0.248,1.628,-0.473,,-4.3422856,0.16619125,3.7548256,G
692,-5.092,0.291,-5.259,,-1.783,,-1.467,-0.733,1.308,0.062,2.241,-0.578,1.515,,-4.456076,-1.7658174,6.3307924,G
693,3.378,9.443,-2.273,1.922,3.027,,,-0.525,,2.56,-1.796,,1.32,1.575,6.9285603,,-8.277041,G
694,1.036,1.778,4.37,-1.291,,8.619,-0.563,1.347,0.554,-0.952,0.402,0.415,-1.286,,-6.3661118,4.074383,8.5864525,A
695,,-4.642,-1.994,,-0.435,,0.287,0.507,,0.893,0.148,0.296,,,-9.523736,-5.0222263,6.3777227,A
696,1.0,2.056,5.925,2.807,,-1.097,0.401,5.302,0.909,0.797,,,-3.565,-0.162,7.2440424,1.9409128,-6.2071815,E
697,-2.001,,,-0.838,-0.914,0.285,0.587,-4.979,1.919,-0.61,-1.716,,0.39,-0.533,-0.3769771,0.30027825,-1.8961762,B
698,,-5.428,-3.419,1.063,-2.472,-2.136,,-0.674,-0.776,0.858,1.176,0.214,-1.412,1.087,2.0625477,-0.9958608,,A
699,2.583,,,-2.962,-5.272,-1.922,-0.899,1.139,-0.854,,1.718,0.271,,1.956,-7.855042,-4.6305213,7.238265,B
700,,-1.551,1.375,1.672,2.282,-1.732,,,0.102,1.039,,6.111,1.882,4.2,4.53528,0.4022435,-4.074605,B
701,-1.225,0.921,,,-1.39,-0.85,,-4.033,-2.362,0.452,-0.749,0.173,,0.598,-2.2327259,-1.3826694,,A
702,,,-6.039,-0.716,,1.555,-0.314,-2.123,2.264,-0.185,1.581,-1.448,0.663,-1.19,-3.7278895,-0.43266964,5.4330244,G
703,-5.598,-0.744,-4.898,-0.476,0.548,2.284,,-0.963,-1.424,,2.266,,1.648,-0.521,-4.0883856,-0.107078314,6.896106,G
704,,-5.443,-3.893,-3.185,-0.672,-0.866,-0.23,0.182,,,,0.064,0.469,-0.815,-7.6652884,-3.6146,6.0461216,A
705,,-3.497,-1.015,-0.757,,-1.765,-1.041,1.505,,0.034,0.143,-2.266,1.339,-0.502,,-1.8341825,0.42058957,E
706,,2.258,-1.252,-0.84,,1.147,,-0.873,0.286,,0.454,1.066,4.015,0.094,-2.7820458,-0.2373391,3.0832803,G
707,,0.657,-4.061,,,1.674,-0.367,,-0.683,-1.037,,,0.531,0.687,-6.176258,-1.1739043,6.369903,G
708,-6.517,,-2.526,1.184,,0.373,1.186,,-2.854,1.894,,2.007,-0.086,1.558,,0.36299127,1.9439778,E
709,0.201,-4.805,-1.982,6.155,-3.017,0.175,-1.395,3.047,1.266,1.402,,0.607,1.47,-1.168,15.967229,6.3717566,-13.990304,A
710,,4.855,-4.828,1.697,1.401,-1.698,,-2.482,0.36,,1.277,-0.379,,-1.297,3.2806973,-0.22039127,-1.361212,G
711,-1.344,-2.814,1.325,-0.868,-0.773,-1.612,-0.117,-3.809,,3.557,-3.23,2.367,-0.358,-1.436,,-0.16307819,-6.158287,E
712,2.485,5.671,-5.247,2.653,1.622,1.504,-2.038,0.049,-0.529,1.001,-2.682,2.458,,-0.789,8.218186,4.5779305,-8.951141,G
713,-7.373,-4.663,,1.393,,0.367,-0.64,0.971,-2.837,0.103,,,-0.383,0.186,,1.1436869,-0.8868897,E
714,11.427,-4.34,-2.236,-2.981,,,-0.128,1.291,1.219,0.714,0.66,-0.916,-0.657,-0.628,,,,A
715,-0.098,2.559,4.527,-1.797,,,1.809,2.904,,-1.628,-0.68,-3.405,-0.053,3.985,-4.8697042,1.2449739,,B
716,9.103,-4.892,-2.438,,0.987,1.179,,,0.049,-0.14,-1.253,2.422,1.486,1.027,-2.8948207,-0.030356526,0.9064772,A
717,-6.954,0.197,-3.106,-1.435,0.125,-0.333,0.803,1.736,,1.707,,-0.132,,-0.662,-3.6184084,-1.666965,3.0659006,G
718,0.814,-0.204,2.995,1.244,3.2,1.293,,1.529,1.482,-2.119,-0.375,-1.8,1.707,0.371,2.79499,2.077139,-2.019382,E
719,-0.016,1.028,3.293,-1.693,-2.631,0.649,,,-1.665,-1.283,0.891,-0.63,-0.274,-0.883,-5.0074577,-1.5074694,5.086241,B
720,2.826,-3.065,-0.685,,-3.696,2.857,1.01,2.194,2.009,0.675,-1.608,2.6,0.205,-0.533,,11.090086,-17.891298,A
721,,-1.799,,2.054,-1.918,0.015,-2.239,1.411,1.696,2.328,,2.19,1.711,-2.668,5.421281,2.1389651,-4.8603487,B
722,-6.578,-2.79,-3.188,,,,-1.861,,,1.77,-0.63,1.265,-0.812,-0.349,1.4878303,0.2221739,-2.141011,A
723,-4.064,,2.09,-2.339,0.19,-1.046,,-3.294,1.026,-1.003,0.627,0.688,-1.14,-1.851,-5.659766,-2.9995737,4.536925,E
724,9.15,-3.499,0.479,-0.411,0.993,-1.324,-0.753,-0.717,-0.654,,-1.005,-0.568,-1.231,,0.4807866,-0.6882,-2.2125232,A
725,-0.351,5.107,,,-1.76,4.085,,-1.147,,-0.324,1.47,1.437,,0.037,-6.356521,0.5080869,8.201605,G
726,12.388,-5.66,-2.706,-3.042,,0.134,0.258,-0.304,1.778,,0.786,-1.587,-1.622,0.167,-7.8503733,-2.9509044,6.8104506,A
727,,0.4,2.324,-0.131,-1.244,,-2.295,2.661,,,1.275,-0.892,1.103,0.829,-3.7820764,3.3067913,7.0167,B
728,1.083,1.097,-0.176,3.457,-3.53,1.4,4.606,0.364,-2.8,-2.65,-2.523,-2.134,-0.16,,9.961633,5.1331387,-10.049221,A
729,-8.634,-3.796,,-0.844,1.431,0.204,1.646,1.319,-1.807,-0.621,0.412,,-1.218,1.487,-2.4237235,-0.81039995,2.392521,E
730,-5.565,-1.763,,-0.358,3.648,,-2.534,-0.352,-0.66,-2.725,,-0.559,0.767,0.181,-0.78922176,-1.0382956,0.59372634,E
731,0.984,3.335,5.377,,-1.646,5.374,0.879,3.342,1.95,-2.819,,-3.024,0.304,4.391,-2.6794498,3.0186262,,B
732,-7.512,-3.681,,0.815,0.961,0.491,-0.763,,-2.841,0.834,0.458,1.503,-0.387,1.088,1.273069,0.78909564,-0.121887445,E
733,,-1.21,3.36,,,-4.248,0.0,-0.117,,,-2.47,0.273,-1.022,,6.680022,,-9.832362,E
734,7.677,-4.838,-1.408,-0.845,,-1.147,-1.585,-1.449,0.87,0.161,-1.019,,0.65,2.124,-0.5717903,-0.94783473,-1.3951457,A
735,,-0.582,3.026,1.77,-1.565,8.102,-0.723,-2.754,2.296,0.54,-0.84,-1.298,-2.267,,2.1026516,7.0280347,0.5673245,B
736,-5.924,-4.516,-1.846,1.894,2.323,-1.107,-2.076,,-3.297,0.298,,-2.049,-1.167,,4.413223,0.77197397,-3.1616027,E
737,-1.035,,4.68,,-5.624,2.047,0.078,1.093,0.077,2.19,-2.889,-0.645,,1.379,-1.7548251,1.2700609,-1.7555408,A
738,-0.164,,4.821,-1.736,-3.879,-1.953,-0.768,-2.109,,3.565,0.85,-1.909,3.849,-1.627,-4.1652746,-3.1536174,3.3865035,B
739,,-2.487,-1.905,-1.568,,2.216,-0.945,,-2.107,,-1.723,-1.135,-0.359,1.314,-2.7296715,0.8779393,0.5723667,A
740,-1.247,4.47,-4.307,0.119,0.313,,0.768,1.246,2.254,0.325,-0.303,-0.393,0.905,1.431,,0.8014869,-0.2492561,G
741,,-3.788,-2.554,2.702,-0.477,-1.064,-1.493,,-1.709,1.827,-0.05,-1.057,-1.596,,6.6728168,1.7081912,-5.34336,E
742,12.318,-3.531,-1.565,-1.78,,0.006,,1.529,,,,,-1.852,-0.668,-5.425661,-2.2107217,5.739501,A
743,9.949,-3.453,-1.742,-3.377,0.385,-1.538,0.072,0.358,0.56,-0.799,,1.021,2.458,0.637,-6.7882605,-3.645174,3.64568,A
744,-1.733,-4.319,,,-2.996,-0.812,1.508,2.524,4.096,1.204,-4.79,,1.338,-1.826,14.039917,5.2910085,-16.91074,A
745,-4.911,-2.789,0.008,0.859,1.614,,,,1.896,-2.915,-0.042,-0.671,,-1.593,1.7631515,,-1.0338831,E
746,,6.832,-3.838,-0.564,,-0.077,1.148,-0.657,,,-0.45,-2.579,,-0.675,-0.84323394,-0.3156,-0.015907168,G
747,-3.577,1.272,-4.018,0.649,0.983,0.863,1.551,1.968,,0.195,-0.122,0.701,-1.517,,1.3215151,1.1651303,-0.7813444,G
748,-1.233,2.249,3.104,0.047,4.927,0.585,-1.066,0.344,0.51,-2.303,-0.595,-0.09,2.568,1.182,0.48226058,0.7020435,-0.91050994,E
749,,-3.15,-2.293,-2.053,,,,1.889,-1.286,0.742,,0.119,0.798,-0.76,-6.1855173,-2.6774435,6.484165,A
750,,-5.539,-3.303,-3.167,-1.072,,-0.076,-1.749,1.408,0.891,-0.581,1.091,1.39,0.069,-6.656035,,3.939517,A
751,,0.458,4.016,0.074,-3.412,-4.526,-2.306,0.456,,,,0.489,-0.22,-2.962,3.0594108,-2.0942435,-5.8341503,B
752,,,-2.28,,2.205,0.69,0.873,0.122,1.589,0.671,1.32,-2.334,-1.004,0.515,-9.965588,-3.3953042,9.280545,A
753,1.282,,5.155,,4.413,1.352,-3.508,1.689,0.156,-0.945,0.81,-4.162,-2.46,1.034,3.5415127,2.2458608,-0.9621748,E
754,-2.536,2.755,-3.649,-0.838,0.567,2.114,-1.074,-1.774,0.167,1.003,,-1.301,1.566,-1.237,-5.5774364,-0.8916087,8.88739,G
755,,8.74,-3.296,2.363,3.252,-0.664,-1.452,-0.931,0.045,1.538,-2.275,0.785,-0.86,0.079,7.904192,,-9.041357,G
756,9.303,-4.397,-1.603,-3.101,1.252,-2.276,0.474,-0.56,-0.184,-0.756,-0.348,-0.585,0.846,,-6.053239,-3.9490087,3.037667,A
757,,6.109,-0.866,0.227,1.155,0.552,0.63,-1.62,-0.462,-0.077,,,-1.258,-0.669,-1.114674,-0.19850439,3.0207484,G
758,,-1.077,2.061,,3.063,1.017,,,,,0.168,-2.323,,0.045,3.3602982,2.0091128,-1.8175898,E
759,,-2.631,3.13,1.761,4.6,-1.286,-0.041,1.259,-0.821,,0.685,-0.062,0.436,0.424,3.859383,,-2.406528,E
760,-0.634,0.971,,1.835,4.385,-0.568,-0.174,3.736,1.23,-0.969,0.645,-1.745,-1.429,-0.173,3.8205369,0.92033905,-2.146594,E
761,-6.216,-1.924,-2.742,0.197,-2.03,,,2.521,0.327,1.192,0.71,-1.458,1.65,-1.08,0.08739394,-0.75660866,0.5161787,B
762,2.535,6.017,-3.716,2.611,2.572,0.475,-2.21,-2.66,-0.96,-0.096,-1.048,,-1.916,0.087,6.895166,3.0872698,-6.222514,G
763,-3.102,-1.012,1.08,0.957,-0.762,-1.66,-1.786,-0.363,-1.576,2.549,-0.075,,1.449,-3.421,2.863703,-0.16995658,-2.8419006,A
764,0.165,-3.862,-1.565,-0.721,-1.36,-4.023,-2.214,-0.9,-0.486,-1.302,0.478,0.329,,1.012,-0.7375201,,-0.42367083,A
765,-6.396,-1.128,0.605,-1.997,3.192,-1.998,-1.28,0.094,0.156,-2.461,0.556,-0.398,-0.604,-0.734,-4.469195,-3.263026,3.198523,E
766,7.727,1.222,,6.271,-1.036,-1.625,4.764,2.186,,-1.997,,,2.57,-1.355,,4.9550953,-13.750065,A
767,0.665,-2.443,-1.323,8.134,-1.34,-2.071,3.223,-2.345,-0.526,-4.101,-0.939,-1.364,1.389,-1.42,20.458796,6.241834,-16.955572,A
768,-0.069,-0.356,,3.326,-5.752,-4.058,-2.487,-2.995,1.685,1.9,-0.195,-0.906,-1.758,2.522,9.295821,0.4481651,-8.6326275,A
769,-7.195,,-2.843,,3.188,1.279,-0.605,,-3.027,,-0.436,,0.286,,1.9606423,1.7612175,-1.4991037,E
770,,1.571,-4.424,-1.815,0.047,0.701,2.011,0.773,,-0.653,0.307,-1.215,,0.952,-4.742338,-1.2915392,4.13685,G
771,2.326,0.655,3.418,1.474,,1.334,-4.377,0.581,0.103,-1.898,,0.078,-1.957,-0.471,3.3384423,2.3156955,-2.4330862,A
772,-6.083,0.221,-3.658,,,0.414,,-0.584,-0.242,,1.966,1.102,-0.88,0.462,-5.6892943,-2.0830781,,G
773,2.853,,-3.625,2.429,2.879,0.016,-0.607,,0.506,-0.092,-2.014,-0.508,-1.645,,7.5684843,3.1204348,-8.179979,G
774,2.852,-2.452,2.754,5.425,-0.107,4.43,-3.284,,0.263,1.625,2.899,-0.426,-0.575,-1.16,8.216327,6.054061,,B
775,-3.526,,-4.523,0.153,0.027,-1.375,2.243,,,-0.173,-1.254,-1.919,-1.167,1.799,2.0453649,-0.10627824,-3.7023773,G
776,0.212,-0.115,3.966,0.817,5.745,2.006,0.474,-0.948,-0.21,-0.237,0.624,0.862,0.364,,0.5917308,,1.195852,E
777,,-1.622,-0.286,-0.073,,5.125,3.888,-2.119,-2.777,2.606,0.507,2.266,0.653,-0.961,-2.4366946,2.8939219,4.481022,B
778,,-4.483,0.01,-2.971,,-2.845,-0.502,-1.215,-0.204,-1.649,-0.13,,-0.325,,-5.766145,,2.893119,A
779,2.487,8.38,-2.577,2.178,3.29,-1.13,-0.654,0.403,1.524,1.057,-1.358,1.486,-2.018,,6.7493353,1.8595304,-7.165806,G
780,-2.872,-0.171,3.334,-2.548,2.141,-0.362,4.835,0.342,0.143,0.86,2.265,1.442,-0.549,1.24,-7.9671307,-3.564948,8.666724,E
781,2.177,4.282,3.304,-2.978,-4.228,-1.865,0.139,1.342,,-1.639,0.474,,,3.131,-6.707049,-3.9921563,4.7702694,B
782,5.033,-3.331,,-5.036,,,-0.517,-2.369,0.373,0.662,-1.764,2.212,1.727,,-9.372802,,3.8100708,A
783,10.773,-2.743,-1.939,-2.839,0.966,-0.428,,2.636,-0.775,-0.511,,0.393,0.124,-0.267,-5.701852,-2.3669045,2.98568,A
784,-0.38,-2.165,1.1,2.977,-0.554,2.59,,-1.047,-2.42,1.127,1.601,,-0.533,-1.605,,3.4167213,-0.0747664,B
785,,0.721,,-0.625,-2.502,4.516,,3.119,0.912,-1.712,-1.075,-0.367,-0.218,0.516,-1.971395,,1.7956486,B
786,3.854,,-3.466,1.131,,-0.522,-0.32,-0.49,0.887,0.453,-1.014,0.826,,0.459,,,-4.3075695,G
787,,-0.761,2.865,3.153,,5.033,-0.559,1.123,,2.178,-1.508,0.877,0.762,1.587,7.015374,6.6402783,,B
788,2.209,6.954,-4.83,0.434,2.643,-0.408,-0.431,-1.36,1.006,-0.649,0.409,,0.123,0.689,,-0.08077395,-0.16334659,G
789,-1.121,0.259,4.419,-0.641,3.777,-1.652,-1.982,-0.632,-0.195,2.511,-0.167,,0.402,-1.441,-0.74958175,-1.5089129,-0.332404,E
790,5.336,-2.876,1.659,,-0.763,0.495,,0.086,-0.94,-0.57,3.645,,-2.307,0.407,23.165606,8.594564,-11.806612,A
791,11.829,-3.321,-1.641,-4.296,0.329,-0.523,0.405,0.393,,,-0.769,,0.159,0.026,-9.019819,,5.3312764,A
792,-3.278,-1.578,3.254,,3.257,-0.926,0.254,-3.367,,0.306,-1.45,0.086,0.585,1.851,2.5055225,,-4.119812,E
793,-2.97,0.836,,-1.577,1.09,-1.493,1.297,-0.462,-0.145,1.048,-0.397,1.566,,-1.163,-2.748932,-2.1092782,,E
794,-4.476,-4.022,-4.096,1.849,-3.155,1.277,-1.724,2.217,1.294,0.967,-0.933,1.818,0.192,-1.716,4.741618,2.8697827,-4.184492,A
795,,0.235,-1.336,0.116,-0.884,0.864,-0.213,,-1.134,,-1.019,-0.515,,0.884,0.9559236,,-1.7086315,G
796,-1.21,-3.139,0.419,-0.869,2.866,0.049,2.352,-3.051,4.656,-0.199,,,2.307,-1.632,0.9928193,0.82146084,,E
797,-2.153,-0.433,-0.648,-0.509,,,-2.525,-0.608,,,0.688,2.505,2.689,-0.917,-3.1377964,1.5516869,4.678417,B
798,2.949,4.764,2.598,-2.561,-2.747,-3.172,0.457,1.553,-0.603,-2.507,1.802,,1.529,,-6.574686,-5.1060696,5.922559,B
799,2.11,7.108,,1.766,3.587,-1.136,1.931,0.384,-0.029,1.924,-1.933,1.54,-1.575,1.356,6.354452,1.7825129,-7.646066,G
800,-2.24,,2.812,-0.071,2.503,0.391,-2.103,0.219,0.498,1.606,-0.699,1.246,,0.362,0.3770485,0.52952176,-1.0493399,E
801,-0.078,6.69,-3.644,,1.319,-0.207,-1.282,-1.428,-0.651,0.675,-1.199,,,0.066,4.2496157,1.5977304,-4.769371,G
802,,-0.539,2.336,,,,-1.148,1.078,0.893,-3.404,0.431,-0.275,-1.03,-2.214,,,3.277914,E
803,3.221,0.45,,,-1.894,-5.232,2.157,2.937,-2.571,0.509,-1.263,,2.903,0.037,10.487113,0.14858264,-11.386375,A
804,-4.842,1.728,-4.609,,-0.617,1.221,-0.053,,1.777,,,,1.127,,-7.319518,-2.2759044,,G
805,7.668,-2.608,-2.191,-2.968,0.332,1.23,,1.859,-1.161,-1.019,0.639,2.357,,1.418,-7.916631,-2.127504,7.0979295,B
806,-5.658,-0.791,-5.37,0.03,-0.286,0.707,-0.894,0.625,2.133,-1.015,0.279,0.553,,-0.853,-0.44584608,0.3304435,0.9761722,G
807,,0.269,4.76,,-2.657,,-1.122,-0.225,-0.336,2.631,0.179,0.007,0.763,-2.312,3.0788472,-1.760026,,A
808,-1.4,1.255,4.411,-3.969,-1.925,,0.412,1.284,1.595,0.147,,-0.298,-0.081,-1.226,,-5.3527045,7.9081306,B
809,-6.571,-1.848,1.263,-0.753,2.059,-0.573,,-0.409,0.207,-0.608,1.492,0.654,0.305,0.029,-2.9896483,-1.7530435,3.9331148,E
810,,-0.664,-3.249,-1.375,-0.142,0.014,0.566,2.387,-0.133,0.508,0.961,1.599,-2.189,-0.883,-4.1189003,-1.6632087,4.280978,G
811,-2.653,0.536,,-2.292,0.447,0.482,,-0.447,2.207,,-0.253,0.46,-0.317,-0.416,-5.228394,-1.5658696,3.6583624,B
812,,-0.908,3.473,5.157,,5.677,3.79,-0.195,-0.851,,-0.429,,-1.636,1.13,,8.251278,-5.874815,B
813,,8.595,-4.274,-0.014,2.169,-0.39,0.681,-1.094,0.17,1.737,0.286,-0.344,1.46,-1.48,-0.17419879,,,G
814,1.979,3.544,,-2.962,,2.301,-0.851,1.063,-0.898,-3.058,-0.508,1.228,-0.534,,-7.163168,-0.88323444,,B
815,,-1.307,,0.234,-0.207,-1.253,-3.483,1.106,-0.532,-1.502,-1.307,-0.815,0.499,-0.636,,0.06680876,-3.8675013,E
816,-2.123,2.922,-3.841,,-0.914,0.395,-1.375,-2.836,1.773,0.142,2.863,-1.569,0.461,-1.079,-2.3008206,-0.9430521,5.640501,G
817,-1.155,2.11,5.713,,1.404,,-0.235,-1.698,-2.267,0.196,-0.288,3.336,-1.825,-1.605,-1.5591805,-3.568278,-0.8337217,E
818,7.981,-4.797,,-1.245,1.44,-1.022,-0.119,-1.674,-0.352,0.992,-0.258,-0.492,-0.043,1.12,-2.278201,-1.5945914,0.9085894,A
819,-2.127,0.144,,-1.454,-1.15,0.529,-1.831,-1.163,-1.453,2.066,,-2.896,2.492,-1.912,,-0.35967827,0.43747044,A
820,10.72,,-2.439,-4.98,0.641,-2.638,,-0.237,1.267,-0.753,0.279,-0.595,0.853,1.261,-10.885155,-6.1203394,7.243722,A
821,7.208,,-2.144,-1.466,-1.783,,-2.491,1.454,-0.677,0.681,,1.081,0.486,,-1.259898,-2.4532866,-1.790971,A
822,-6.25,-3.085,-2.077,-0.297,1.851,2.213,2.847,1.291,,,0.405,1.209,-0.364,1.692,,0.9265305,,E
823,-4.039,-0.507,2.617,,1.899,-3.673,-2.01,0.133,-2.168,1.406,,0.143,-1.084,-1.74,1.6145685,-2.2520263,-1.8190043,E
824,2.994,8.582,-3.882,1.069,2.098,-1.296,0.254,-0.695,,1.368,-1.069,-1.075,0.421,-0.042,3.9594872,,-4.817415,G
825,0.221,-1.075,4.082,2.834,5.099,0.772,-2.089,,,-0.352,-0.246,-0.485,0.916,-0.213,6.53176,3.0696173,-4.7730374,E
826,-6.326,-1.705,1.147,-1.55,3.162,-0.793,,-2.315,-0.767,-0.386,-0.466,-0.912,-0.471,-0.38,-2.862264,-1.613339,1.1475849,E
827,-0.396,4.418,3.256,-2.723,-1.721,-2.087,0.595,1.851,2.614,-1.652,,-2.043,1.061,2.962,,-3.8985043,4.15191,G
828,3.373,6.934,-3.682,3.516,2.875,,1.466,-0.66,,1.285,-1.599,3.339,-0.764,3.834,,3.7948432,-9.233683,G
829,2.421,8.17,-3.202,1.972,1.218,-2.233,0.225,0.819,-0.685,1.708,-1.603,-0.693,,0.12,6.8920665,1.1112609,-8.033342,G
830,-1.396,-2.362,1.309,3.811,2.263,0.184,-3.238,,-0.604,-0.203,1.439,0.84,,1.523,7.365607,,-3.3707268,E
831,-4.584,0.218,1.449,-1.289,-2.126,-2.063,,,3.512,2.047,-0.915,-0.477,-0.197,1.316,-1.3828933,-1.9589653,,E
832,-1.631,3.8,1.789,,-3.424,-1.844,-0.223,1.875,,-1.085,-1.1,-1.842,-0.768,0.576,-3.0762014,-2.4049392,0.0425148,B
833,4.624,-1.952,-0.995,-0.995,-0.212,,-2.167,,-2.387,,-1.239,-0.852,0.625,-0.625,0.090643525,-2.4079738,-3.081684,A
834,-3.771,-0.768,-1.65,,-2.691,0.352,-2.476,0.634,-0.37,,0.403,-0.331,-0.185,-2.791,-0.7438412,-0.066321746,1.2171171,B
835,-5.664,,,-0.008,-1.078,1.668,1.881,0.444,-0.151,0.099,,-1.054,1.246,-0.684,-2.1976666,0.21804345,4.4604015,B
836,10.818,-1.878,,-4.498,,,1.639,1.049,-1.574,0.146,1.37,-0.401,1.475,-1.923,-11.294562,-5.3954954,9.529868,A
837,7.341,-4.739,-1.987,-2.919,1.111,,-0.51,1.257,-0.76,0.351,-0.904,1.748,,0.432,-5.686897,-2.443304,2.7105806,A
838,-6.432,-2.781,0.329,-1.358,3.324,-0.28,-1.463,-2.162,-2.469,-1.074,-1.077,-2.027,-0.336,0.352,-2.003851,-0.8223566,-0.08644581,E
839,12.091,-4.762,-2.418,-3.256,1.529,0.15,0.269,0.9,1.425,,,-1.207,-1.856,-0.27,-7.833223,,,A
840,4.491,0.477,-1.383,3.233,-2.074,-3.181,2.574,2.519,-4.088,-0.445,-0.828,-2.055,3.049,-1.153,9.389537,1.2301217,,A
841,-1.897,0.379,-1.436,-1.513,,,,-0.478,-1.159,-0.301,,-0.354,-0.194,0.369,-3.6166496,3.0068002,2.3539937,B
842,-1.145,-2.644,,5.293,-1.599,,1.882,-1.105,8.036,-1.609,0.435,-0.142,-0.787,0.26,12.506379,3.1705132,-9.290797,A
843,8.689,0.331,,7.55,-0.638,0.041,5.405,,-3.912,-3.904,-0.945,-1.234,,0.358,18.380398,7.0592785,-14.613435,A
844,-0.662,2.398,1.863,,-2.806,-0.719,-2.407,2.696,-0.272,-1.533,,3.201,-0.968,-2.218,,,-0.34545016,B
845,,-6.663,-1.914,-2.746,2.338,-0.24,,,2.075,1.006,1.528,-0.482,-1.072,1.65,-7.754051,-3.2954435,7.5793686,A
846,-6.998,,-1.222,-0.47,1.807,0.123,1.154,1.281,-2.446,-0.178,,0.08,0.216,2.171,-1.7699611,-0.6588174,2.2147727,E
847,-0.4,-0.892,2.818,0.113,-2.476,0.112,-2.621,-1.456,0.359,3.528,-1.587,0.563,,1.828,1.7597709,0.95498264,-3.3476932,A
848,,-2.378,-0.87,-3.438,,1.69,1.183,-0.956,-1.413,-1.422,1.637,-0.55,-0.421,-1.207,-10.130768,,10.219356,A
849,-1.057,0.525,6.009,,,2.464,0.891,3.232,1.613,0.015,-1.332,1.256,-1.14,-1.993,5.5291686,4.1159306,-4.817413,E
850,-0.644,2.954,5.182,-1.471,-3.815,-3.495,0.63,3.235,,3.903,0.248,,0.44,-1.206,-2.4341722,-3.590226,0.71412593,B
851,-6.18,1.576,-3.802,-1.146,,,,1.162,-0.3,,2.441,,,0.337,-4.604702,,6.126137,G
852,-6.273,,-1.28,,,0.703,-0.95,0.632,,-1.878,,-3.34,0.736,-0.431,2.368246,1.6558174,-3.8113642,E
853,4.067,6.986,-2.977,2.105,1.922,,-0.958,0.059,-1.653,2.448,1.415,,1.212,,3.8999214,0.41221738,,G
854,-8.423,-2.785,,,0.877,,1.877,1.166,,-0.636,,1.863,,1.099,-5.2216787,-2.8563042,7.1300836,E
855,3.456,0.485,1.492,,,0.999,-1.422,0.282,0.651,-3.085,2.538,2.542,2.083,,-5.0014133,-1.4577217,7.412426,A
856,1.875,4.97,-1.435,,,1.83,0.46,0.325,1.079,-1.104,0.889,0.559,-0.201,,-6.743831,-1.2661998,6.8154507,G
857,3.691,-0.366,-1.802,5.908,-3.422,-0.329,1.262,0.963,-0.363,-4.39,-1.906,1.939,1.273,-2.331,,5.8761215,-14.043845,A
858,1.047,5.38,-5.608,0.837,0.365,0.854,-1.877,,1.68,0.212,1.211,-0.373,-0.71,-1.282,,0.6622696,1.6092424,G
859,5.127,,1.292,12.576,-0.467,-0.379,3.321,-0.794,-1.548,-2.603,0.924,,0.524,-1.117,28.35185,10.240382,-19.547432,A
860,1.207,6.961,-2.848,1.163,2.921,-2.347,,-0.303,-0.054,,-0.567,0.368,-2.143,,4.055279,-0.17708701,-4.636117,G
861,0.058,,4.4,1.408,0.879,-2.943,-2.303,,0.736,,1.407,0.623,2.593,3.496,,,-1.4178634,B
