id,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,label
2198,15.0,1901.0,126.73,165.85,0.2,0.53,8.57,21.85,4.58,,8.8,0.47,0
2199,15.0,2815.0,187.67,322.05,0.4,0.53,0.12,23.8,8.13,0.26,8.93,0.07,0
2200,,,26.82,13.09,0.019,,9.77,17.95,,0.0,9.0,0.97,1
2201,13.0,1842.0,,236.21,0.385,0.38,12.1,15.43,1.4,0.0,9.0,,0
2202,13.0,161.0,12.38,,0.769,,13.17,23.97,3.62,,,0.69,0
2203,26.0,,311.12,,,0.88,,17.0,,1.21,,0.38,0
2204,,,51.26,47.6,0.684,,12.23,20.5,2.94,0.0,,0.53,0
2205,21.0,982.0,46.76,47.62,0.381,,,21.02,3.38,0.0,,0.76,0
2206,14.0,,75.93,,0.143,0.14,8.65,,5.31,,10.86,,0
2207,11.0,11907.0,1082.45,112.1,0.182,0.36,20.12,23.52,1.1,0.0,10.0,0.0,0
2208,,6748.0,396.94,586.39,0.118,,,22.78,3.52,0.79,,0.47,0
2209,12.0,1487.0,123.92,166.69,0.917,0.58,10.67,20.72,4.02,0.0,,0.5,0
2210,41.0,1200.0,29.27,17.53,,,15.1,18.98,,,9.0,0.76,0
2211,11.0,948.0,,72.31,0.727,0.55,10.73,21.57,3.98,0.9,8.73,0.82,0
2212,24.0,503.0,,20.06,0.917,0.58,0.42,,7.64,0.0,,0.29,0
2213,11.0,,86.73,,0.545,0.36,,18.65,4.45,0.0,9.0,0.36,0
2214,14.0,461.0,32.93,44.13,0.5710000000000001,0.36,9.53,21.17,4.1,0.27,,0.5,0
2215,,876.0,,27.23,,0.47,11.08,23.25,2.79,0.0,9.0,0.74,0
2216,18.0,2838.0,157.67,142.99,0.5,0.5,10.9,19.27,,,,,0
2217,24.0,,,39.24,0.3329999999999999,,,20.07,,,9.0,,0
2218,12.0,2234.0,186.17,406.36,0.1669999999999999,0.08,19.45,21.7,0.94,0.0,9.0,,0
2219,,463.0,38.58,29.19,,0.58,9.93,20.28,2.92,0.9,,0.83,0
2220,13.0,1223.0,94.08,127.2,0.154,0.46,9.25,20.18,4.41,0.0,,,0
2221,14.0,182.0,13.0,,0.214,0.14,9.48,13.5,,,,0.71,0
2222,14.0,468.0,33.43,,0.5,0.36,7.72,17.52,2.54,0.73,8.71,0.57,0
2223,16.0,,,26.78,0.125,,8.47,23.85,3.52,0.0,9.0,,0
2224,20.0,808.0,,34.35,0.3,0.25,13.33,,0.91,0.45,,1.0,0
2225,11.0,560.0,,50.69,0.818,,9.7,14.65,1.79,0.0,,0.82,0
2226,22.0,441.0,20.05,20.56,0.955,0.68,0.42,,5.63,0.0,,0.5,0
2227,15.0,1814.0,120.93,77.86,0.467,0.6,8.23,,2.98,,9.0,0.67,0
2228,,761.0,69.18,,0.455,0.73,8.45,,,0.6,8.82,0.64,0
2229,24.0,4446.0,185.25,205.89,0.083,0.21,7.43,20.2,,0.0,,0.38,0
2230,42.0,3086.0,73.48,100.53,0.238,0.02,16.22,,1.51,0.0,5.0,0.76,0
2231,,,110.05,242.6,0.526,0.58,7.7,20.1,4.5,1.37,,,0
2232,12.0,335.0,27.92,30.31,0.25,0.58,7.82,23.98,5.89,,9.0,0.17,0
2233,12.0,244.0,20.33,,0.917,0.58,10.87,20.35,3.53,0.0,9.0,,0
2234,25.0,3326.0,,272.83,0.28,0.04,1.53,23.88,8.59,0.0,,0.16,0
2235,13.0,708.0,54.46,,0.231,0.69,7.58,21.52,4.13,0.28,9.08,0.62,0
2236,14.0,1280.0,91.43,163.0,0.7140000000000001,0.5,,20.9,2.86,0.0,9.0,0.79,0
2237,24.0,2041.0,85.04,250.18,0.125,0.13,,21.38,,2.07,5.04,0.75,0
2238,27.0,388.0,14.37,10.95,0.667,,0.07,22.73,6.11,0.0,9.0,0.48,0
2239,,101.0,4.39,,0.087,0.09,18.3,23.73,1.46,,9.61,0.0,0
2240,16.0,,66.81,54.88,,0.31,9.47,,1.63,1.61,8.25,0.94,0
2241,16.0,995.0,62.19,106.69,0.813,0.56,0.97,18.8,5.27,0.0,9.0,0.44,0
2242,14.0,761.0,54.36,61.42,0.429,0.29,9.4,,2.37,0.0,9.0,0.71,0
2243,55.0,342.0,6.22,2.54,,0.02,0.08,23.87,,0.0,9.0,0.29,0
2244,17.0,570.0,33.53,18.12,0.353,0.24,,20.3,4.99,,9.0,0.24,0
2245,21.0,618.0,,23.88,0.143,0.29,3.42,23.57,4.56,0.6,8.81,0.57,0
2246,11.0,720.0,,76.87,0.455,0.27,7.87,20.45,3.34,0.0,,0.73,0
2247,12.0,,21.75,,0.667,0.25,0.17,12.95,4.13,2.71,7.5,0.33,0
2248,,3602.0,,74.43,0.122,0.98,10.85,,,0.0,9.0,1.0,1
2249,14.0,613.0,,,0.5710000000000001,0.64,7.33,,4.45,0.85,8.57,,0
2250,22.0,3165.0,143.86,,0.364,0.73,7.77,23.55,,0.21,8.95,,0
2251,,,1077.0,108.54,0.1669999999999999,1.0,20.12,23.53,1.11,,10.0,,0
2252,13.0,333.0,25.62,11.33,0.385,0.46,9.22,20.93,2.97,0.0,9.0,0.85,0
2253,15.0,267.0,17.8,,0.4,0.4,6.37,23.15,6.23,1.55,,0.4,0
2254,22.0,1423.0,,,0.2269999999999999,0.64,6.82,10.18,,1.29,8.32,0.05,0
2255,11.0,310.0,,17.06,,0.73,,23.2,8.71,0.0,,,0
2256,11.0,,55.55,44.29,0.091,0.09,8.92,21.53,4.01,0.0,11.0,0.45,0
2257,11.0,383.0,,13.32,,0.55,,20.15,4.11,0.9,8.73,0.73,0
2258,,289.0,20.64,12.51,0.643,0.21,13.43,18.75,,0.85,8.57,,0
2259,254.0,29817.0,117.39,224.1,0.004,,0.05,23.92,5.9,,8.98,0.46,0
2260,16.0,,,,0.063,,19.13,22.27,0.77,,8.25,0.0,0
2261,14.0,1074.0,76.71,55.8,0.214,0.21,9.2,18.27,2.83,,,0.79,0
2262,13.0,,46.69,,0.462,0.46,10.03,21.38,2.76,0.0,,0.69,0
2263,,2994.0,,,0.583,0.5,6.58,21.77,4.61,0.79,,0.5,0
2264,19.0,,35.16,26.68,0.895,0.79,14.37,21.45,1.94,,9.0,0.37,0
2265,11.0,598.0,54.36,56.52,0.545,0.27,7.42,16.97,3.79,0.47,,0.64,0
2266,,,,,0.7859999999999999,0.57,10.38,,3.34,0.0,9.0,,0
2267,27.0,1071.0,39.67,,,0.93,,,0.42,0.0,,0.7,0
2268,20.0,2365.0,,,0.55,0.35,,16.47,4.44,,8.25,,0
2269,,403.0,16.79,11.82,0.3329999999999999,,,23.77,2.9,0.0,9.0,0.17,0
2270,31.0,2065.0,66.61,,0.516,0.42,8.33,22.17,4.99,0.0,9.0,0.48,0
2271,19.0,,55.16,71.36,0.211,0.32,13.73,,4.06,0.5,,0.37,0
2272,11.0,12146.0,1104.18,,0.182,,20.13,23.52,,0.0,10.0,0.0,0
2273,29.0,,,29.18,0.069,1.0,9.72,10.88,0.37,0.0,9.0,0.76,0
2274,25.0,,,19.33,0.36,,0.32,23.52,6.06,0.0,9.0,0.4,0
2275,11.0,,48.82,,,,,19.2,5.03,0.6,8.82,0.45,0
2276,,1382.0,125.64,172.24,0.182,0.18,15.5,,,,11.0,,0
2277,15.0,392.0,26.13,,0.4,0.47,7.52,22.17,,0.0,,0.07,0
2278,,5052.0,388.62,415.23,0.154,0.23,5.67,23.2,6.05,,11.0,0.08,0
2279,22.0,1521.0,69.14,75.89,0.909,0.59,11.77,,2.31,0.48,8.68,1.0,0
2280,17.0,,,226.44,0.471,0.47,0.07,22.33,5.75,1.52,7.76,0.71,0
2281,20.0,,45.85,69.3,0.2,0.3,13.78,22.23,1.78,2.21,,0.05,0
2282,20.0,,,43.71,0.15,0.7,9.45,23.1,,0.22,8.95,0.5,0
2283,,286.0,23.83,18.01,,0.83,,,4.53,0.0,,0.17,0
2284,,486.0,34.71,38.92,0.286,,4.85,20.6,5.57,2.33,7.21,,0
2285,22.0,1180.0,53.64,39.42,0.2269999999999999,,12.98,18.53,,,9.0,0.68,0
2286,,124.0,11.27,,0.273,,5.1,20.38,,1.01,9.73,0.36,0
2287,32.0,578.0,18.06,24.14,0.156,0.47,9.6,20.33,,1.0,7.97,,0
2288,,247.0,22.45,18.12,0.545,0.55,8.27,22.0,4.72,,8.91,0.55,0
2289,15.0,902.0,60.13,,0.2,,7.02,20.05,4.04,1.03,,0.6,0
2290,19.0,370.0,19.47,14.01,,0.79,13.05,21.12,2.53,,9.0,,0
2291,,,91.19,,0.313,,9.47,,2.72,0.79,8.69,,0
2292,12.0,,100.83,67.69,0.833,0.17,11.93,17.82,2.07,0.0,9.0,1.0,0
2293,11.0,753.0,68.45,,0.636,0.36,,,3.65,0.3,,0.73,0
2294,11.0,,50.45,,,0.45,7.18,13.48,2.14,0.47,8.73,0.18,0
2295,16.0,1851.0,115.69,79.61,,0.94,10.53,18.58,2.98,0.0,,0.81,0
2296,11.0,4026.0,,856.9,0.182,0.09,8.3,23.85,5.84,,11.0,0.36,0
2297,,12924.0,1077.0,108.54,0.083,0.33,20.12,23.65,1.17,0.0,10.0,0.0,0
2298,11.0,2285.0,207.73,103.26,0.364,0.64,8.93,23.15,5.65,1.81,7.91,0.0,0
2299,11.0,293.0,26.64,19.46,0.455,,12.42,22.43,,0.0,9.0,0.36,0
2300,,,54.35,54.43,0.65,0.7,9.38,22.82,3.51,,8.4,0.2,0
2301,14.0,720.0,51.43,33.61,0.5,0.29,,23.8,6.96,0.0,9.0,0.5,0
2302,11.0,2362.0,214.73,,0.455,0.36,5.67,,5.34,1.91,6.36,0.27,0
2303,18.0,1274.0,70.78,76.26,0.111,,8.48,21.0,4.19,,9.0,,0
2304,,1398.0,,174.74,0.154,0.15,20.35,21.27,0.35,0.0,9.0,0.0,0
2305,16.0,,31.69,18.46,0.375,0.56,8.38,16.78,2.96,0.45,8.75,0.56,0
2306,26.0,,59.85,,0.192,0.12,7.55,19.93,,0.0,9.0,0.38,0
2307,12.0,413.0,,57.66,0.3329999999999999,0.08,17.05,17.48,0.15,0.0,9.0,1.0,0
2308,23.0,2747.0,119.43,121.15,0.391,,,19.85,5.25,,7.43,,0
2309,12.0,,,,0.1669999999999999,0.17,10.03,21.07,3.74,0.0,9.0,0.25,0
2310,19.0,877.0,46.16,,0.263,0.37,8.22,,4.37,,,0.53,0
2311,19.0,676.0,35.58,,0.263,0.74,5.83,23.1,4.29,1.38,8.68,,0
2312,,1799.0,39.98,0.26,,0.02,0.62,16.3,5.74,0.0,9.0,0.2,0
2313,19.0,794.0,41.79,34.52,0.526,0.26,7.68,23.77,5.24,,8.84,0.21,0
2314,32.0,1615.0,50.47,50.57,0.625,0.22,,21.53,5.76,0.0,9.0,,0
2315,11.0,,110.82,131.58,,,9.07,,3.6,0.0,9.0,0.55,0
2316,45.0,446.0,9.91,24.51,0.133,0.44,0.68,23.77,8.77,0.66,8.8,,0
2317,,1130.0,51.36,29.26,0.091,,9.65,17.3,2.13,,7.68,,0
2318,11.0,261.0,,16.89,0.909,0.55,7.6,,2.39,,,0.64,0
2319,17.0,1103.0,64.88,76.36,0.588,0.82,6.6,17.4,3.18,0.0,9.0,0.59,0
2320,12.0,842.0,,87.59,0.3329999999999999,0.83,,,2.16,0.29,8.92,0.58,0
2321,,415.0,37.73,,0.455,0.64,1.0,,,,8.45,0.18,0
2322,11.0,,49.0,,0.818,0.09,12.27,,,0.0,5.0,1.0,0
2323,45.0,1451.0,32.24,16.54,0.133,0.98,,20.52,3.19,0.0,,0.69,0
2324,26.0,,44.73,32.41,,1.0,15.78,,0.9,0.49,,0.04,0
2325,,505.0,45.91,49.22,0.545,0.55,8.32,23.5,5.21,1.51,7.91,,0
2326,11.0,1449.0,,180.59,0.364,0.36,15.13,18.88,,0.0,9.0,0.73,0
2327,14.0,,30.79,31.4,0.357,,8.08,,3.86,1.61,8.5,0.64,0
2328,13.0,277.0,21.31,17.22,0.385,,9.07,23.28,4.96,0.0,9.0,0.54,0
2329,21.0,2691.0,128.14,169.11,0.19,,,22.63,6.15,0.0,9.0,,0
2330,19.0,,86.95,174.15,,0.11,20.03,20.62,0.19,1.68,5.84,0.0,0
2331,20.0,,73.8,,0.2,,11.7,19.25,,2.44,5.55,0.9,0
2332,11.0,213.0,19.36,17.23,0.182,0.45,12.35,,3.66,2.34,5.36,0.27,0
2333,11.0,,69.36,55.24,0.364,0.18,14.35,,3.25,1.62,3.73,0.18,0
2334,,531.0,35.4,46.07,0.3329999999999999,,5.55,15.13,,1.6,8.47,0.87,0
2335,11.0,,,86.38,0.636,0.27,1.28,23.53,8.02,0.0,9.0,,0
2336,,487.0,40.58,20.48,,,,17.13,3.76,0.9,8.5,0.67,0
2337,13.0,947.0,72.85,59.47,0.5379999999999999,0.54,6.17,22.3,5.19,0.0,10.0,0.62,0
2338,13.0,615.0,47.31,,0.769,,13.85,21.65,2.52,1.55,8.08,0.23,0
2339,13.0,764.0,58.77,44.26,0.308,,10.07,15.75,,,8.69,,0
2340,12.0,5956.0,496.33,725.61,,0.42,7.85,22.25,5.58,0.0,9.0,0.33,0
2341,13.0,,42.46,,0.5379999999999999,0.77,8.15,21.85,,0.88,8.54,,0
2342,14.0,524.0,,30.17,0.143,0.57,14.88,,,0.0,9.0,0.14,0
2343,13.0,654.0,50.31,94.37,0.154,0.69,,19.33,4.87,1.32,8.31,0.31,0
2344,12.0,884.0,73.67,37.79,0.083,,13.9,20.45,1.94,0.0,9.0,0.92,1
2345,,,55.89,,0.222,,6.15,23.22,4.95,0.77,8.67,0.33,0
2346,12.0,413.0,,27.17,,0.42,9.62,19.27,3.86,0.87,,0.5,0
2347,13.0,654.0,50.31,31.01,0.615,0.62,,22.6,6.06,0.75,8.31,,0
2348,21.0,659.0,31.38,,,1.0,11.45,,,0.0,,1.0,0
2349,118.0,6350.0,,93.76,,,14.62,20.9,2.06,0.0,8.0,0.54,1
2350,19.0,,157.95,158.35,,,9.98,22.67,4.4,1.33,,0.74,0
2351,17.0,,,494.22,0.118,,16.42,,1.16,,5.24,0.41,0
2352,11.0,545.0,49.55,39.13,0.636,0.18,0.48,23.22,7.51,1.62,,0.18,0
2353,,917.0,83.36,79.47,0.455,0.73,2.65,,,0.0,9.0,0.73,0
2354,11.0,300.0,,29.83,,0.55,14.53,,,0.0,9.0,0.36,0
2355,12.0,518.0,,27.2,,0.42,8.68,17.03,2.29,0.9,7.5,,0
2356,,880.0,41.9,,0.667,,14.38,19.55,1.52,,,0.86,0
2357,61.0,4498.0,73.74,58.36,0.115,,10.2,17.88,1.8,0.77,8.9,1.0,1
2358,16.0,639.0,39.94,93.78,,0.19,7.2,,,0.0,9.0,0.81,0
2359,16.0,300.0,18.75,13.57,0.875,0.63,,,,0.0,,,0
2360,,1910.0,,214.33,,0.27,,,4.43,0.0,,0.36,0
2361,21.0,1619.0,77.1,,0.429,,3.1,,5.3,0.0,9.0,0.52,0
2362,15.0,,92.6,,0.133,0.2,10.95,20.78,3.7,0.0,9.0,0.8,0
2363,,1212.0,,112.54,0.25,0.25,10.85,23.28,4.83,,10.83,0.25,0
2364,,1137.0,47.38,49.08,0.1669999999999999,0.5,6.0,21.45,5.15,0.0,9.0,0.25,0
2365,20.0,133.0,6.65,2.39,0.2,0.05,,,1.25,,7.0,0.55,0
2366,12.0,324.0,27.0,16.98,0.3329999999999999,1.0,14.45,15.2,0.3,0.0,9.0,,0
2367,16.0,,20.38,22.43,0.625,0.31,8.0,22.35,,0.34,8.88,0.31,0
2368,21.0,,114.38,145.25,0.143,0.1,0.48,,,0.87,5.19,,0
2369,,468.0,36.0,40.48,,0.62,9.35,16.77,2.83,0.0,9.0,0.62,0
2370,11.0,808.0,,64.44,,0.45,15.03,,,0.93,8.45,0.55,0
2371,80.0,3976.0,49.7,36.5,0.05,0.91,,21.32,2.16,0.0,,0.81,0
2372,20.0,2284.0,114.2,119.98,0.5,0.7,8.3,17.68,1.95,,9.0,0.95,0
2373,,732.0,48.8,,,,10.27,20.07,3.93,,,,0
2374,18.0,253.0,14.06,8.98,0.5,0.28,17.25,21.7,1.22,,8.67,0.06,0
2375,16.0,310.0,19.38,17.81,0.313,1.0,18.82,19.38,0.18,0.0,8.0,0.0,0
2376,11.0,,,53.07,,0.55,11.72,23.02,3.16,,,0.91,0
2377,11.0,467.0,42.45,37.06,0.273,0.82,6.25,18.8,4.11,0.7,8.91,0.36,0
2378,31.0,713.0,23.0,,0.032,0.84,,3.12,1.1,,,0.0,0
2379,122.0,4217.0,34.57,34.56,0.016,0.52,0.18,23.8,5.94,0.0,,0.57,0
2380,12.0,465.0,38.75,49.19,0.417,0.5,11.75,23.77,4.06,0.29,,0.25,0
2381,11.0,345.0,,43.95,,0.55,,20.63,1.89,0.9,8.73,0.27,0
2382,,656.0,,,0.091,1.0,9.4,11.08,0.46,0.0,9.0,0.36,0
2383,14.0,309.0,22.07,24.15,0.143,,11.52,,4.67,0.53,8.86,,0
2384,22.0,623.0,,,0.5,0.23,0.53,,,0.49,8.95,0.55,0
2385,40.0,3094.0,77.35,,0.575,0.6,10.48,,,0.0,9.0,0.9,0
2386,11.0,3235.0,294.09,472.6,0.455,0.18,,22.75,2.84,0.0,11.0,,0
2387,,1038.0,31.45,32.3,0.818,0.48,1.08,,7.67,0.0,9.0,0.27,0
2388,11.0,,170.45,317.04,,0.64,,21.85,6.21,0.81,8.64,0.64,0
2389,13.0,554.0,42.62,27.6,,0.54,8.2,16.13,2.63,,9.0,0.85,0
2390,11.0,411.0,37.36,52.85,0.182,,,23.3,1.32,0.0,,0.0,0
2391,17.0,133.0,7.82,6.42,0.588,0.06,,,8.23,0.0,9.0,0.29,0
2392,14.0,1564.0,,,0.429,0.14,,22.22,3.87,0.53,10.86,0.71,0
2393,29.0,5028.0,173.38,379.27,0.034,0.07,12.97,18.87,,0.74,5.14,0.66,0
2394,14.0,272.0,,,0.5710000000000001,0.29,16.32,21.65,,,8.86,0.29,0
2395,56.0,2062.0,36.82,37.36,,,10.0,16.95,2.37,0.27,8.96,1.0,0
2396,13.0,339.0,26.08,13.29,0.308,0.31,11.85,19.08,,0.0,9.0,0.85,0
2397,61.0,3256.0,53.38,,0.049,0.98,16.28,19.58,0.96,0.96,,0.66,1
2398,12.0,563.0,46.92,47.21,,0.5,,16.82,3.15,0.29,8.92,0.92,0
2399,12.0,219.0,,,,,,23.45,9.14,,9.0,0.08,0
2400,13.0,826.0,63.54,40.11,0.846,,8.83,18.4,,1.8,6.69,0.85,0
2401,,264.0,,9.61,,0.81,9.57,18.02,2.83,0.75,8.81,0.88,0
2402,18.0,,34.78,38.86,0.222,0.94,10.48,14.55,1.2,0.47,,1.0,0
2403,14.0,,92.71,125.36,0.429,0.29,,15.57,3.34,,8.86,0.71,0
2404,16.0,989.0,61.81,47.63,,0.44,6.98,22.57,4.48,0.0,9.0,,0
2405,12.0,374.0,31.17,,,0.5,,17.45,,0.78,,0.58,0
2406,11.0,430.0,39.09,39.02,0.727,0.55,8.32,21.68,5.55,0.9,,0.18,0
2407,,889.0,,81.02,0.846,,13.27,21.7,,1.44,8.08,0.85,0
2408,15.0,613.0,,42.39,0.467,,8.33,17.32,,0.77,8.8,0.47,0
2409,14.0,355.0,25.36,13.7,0.429,,,,4.57,0.8,8.79,0.43,0
2410,,2225.0,57.05,47.1,0.077,,19.37,21.03,0.51,0.0,9.0,0.0,0
2411,11.0,852.0,77.45,,0.182,0.55,7.8,17.92,,0.81,8.64,0.73,0
2412,,,212.58,,0.417,0.58,,20.6,,0.0,9.0,0.33,0
2413,12.0,,132.83,103.09,0.083,,15.37,22.07,2.7,0.0,9.0,,0
2414,12.0,1398.0,116.5,,0.583,0.58,,18.2,4.2,1.56,8.33,0.67,0
2415,,1061.0,,,0.588,0.29,7.8,20.13,4.11,,8.88,0.24,0
2416,13.0,954.0,73.38,,0.462,0.38,7.08,22.38,6.17,0.55,8.85,0.31,0
2417,14.0,243.0,17.36,13.14,1.0,0.64,1.2,23.95,7.47,0.0,9.0,0.29,1
2418,16.0,1218.0,76.13,45.78,0.188,0.06,,,1.29,0.0,9.0,1.0,0
2419,12.0,878.0,73.17,,0.3329999999999999,0.5,,22.12,4.69,0.0,9.0,0.67,0
2420,58.0,1613.0,27.81,30.63,0.069,0.5,12.63,20.12,1.77,,8.21,0.86,0
2421,,993.0,,40.76,0.45,0.7,0.5,,6.85,0.0,9.0,0.2,0
2422,17.0,717.0,42.18,29.54,0.882,,8.63,17.22,,0.0,9.0,0.71,0
2423,18.0,1553.0,86.28,83.01,0.278,0.17,,,4.53,,9.06,0.06,0
2424,13.0,716.0,,,0.769,,9.6,,,0.0,9.0,0.77,0
2425,20.0,,29.55,23.93,0.5,0.25,,,6.34,0.0,9.0,0.25,0
2426,18.0,,38.44,27.73,0.278,0.83,8.62,18.62,2.44,0.92,7.56,0.78,0
2427,12.0,500.0,41.67,36.19,0.3329999999999999,0.25,16.32,22.43,2.48,0.0,9.0,0.5,0
2428,11.0,1216.0,110.55,88.41,,0.36,6.93,18.22,3.83,1.66,8.82,0.64,0
2429,14.0,,,34.71,,0.64,2.27,23.13,5.86,0.0,9.0,0.29,0
2430,18.0,4950.0,275.0,,0.278,0.22,2.17,21.3,6.32,,,0.17,0
2431,25.0,1674.0,,,0.88,0.8,10.32,,1.96,0.0,9.0,0.96,0
2432,18.0,1981.0,110.06,,0.3329999999999999,0.11,11.63,22.58,3.88,0.0,9.0,0.28,0
2433,12.0,,73.92,122.43,0.917,0.67,14.8,,,0.0,9.0,0.5,0
2434,12.0,438.0,36.5,48.05,,0.17,14.77,22.53,3.67,0.45,10.75,0.42,0
2435,46.0,387.0,8.41,,0.022,0.07,0.18,23.53,,,9.0,,0
2436,50.0,1474.0,29.48,23.18,0.06,0.94,,19.05,1.6,0.35,8.86,0.64,0
2437,28.0,1947.0,69.54,86.93,0.036,0.96,,,1.16,,9.0,1.0,1
2438,21.0,1112.0,52.95,31.83,0.238,,6.68,21.5,4.79,0.6,8.81,0.43,0
2439,11.0,429.0,39.0,29.92,0.364,0.45,9.35,22.65,4.88,0.0,9.0,0.36,0
2440,13.0,421.0,,,0.769,,11.23,17.75,2.03,0.0,9.0,1.0,0
2441,13.0,988.0,76.0,91.28,,0.31,6.13,,,,9.0,0.38,0
2442,,,47.42,42.86,0.833,0.58,,,4.6,0.58,8.83,0.25,0
2443,15.0,388.0,25.87,13.21,1.0,0.6,10.33,,2.85,0.0,9.0,0.87,0
2444,13.0,1363.0,,,0.154,0.85,9.45,15.73,2.54,0.87,,0.77,0
2445,,,78.67,80.89,,,,18.97,2.88,0.0,9.0,0.79,0
2446,16.0,588.0,36.75,24.07,0.25,0.31,8.07,22.38,4.6,,,,0
2447,12.0,,84.17,110.73,0.583,,3.4,23.58,6.92,1.78,8.33,0.08,0
2448,14.0,5623.0,401.64,,0.143,0.43,,,4.54,0.0,11.0,0.57,0
2449,19.0,846.0,,41.4,,,,20.73,2.32,0.0,9.0,0.79,0
2450,11.0,336.0,30.55,31.12,0.273,0.55,,20.67,,1.57,7.36,0.36,0
2451,32.0,643.0,20.09,16.58,0.063,0.19,14.5,21.7,,0.35,8.94,0.63,0
2452,,533.0,48.45,51.0,0.455,0.82,8.93,20.07,4.33,0.0,9.0,0.45,0
2453,16.0,,45.25,,0.4379999999999999,,9.12,21.08,3.24,0.25,9.06,0.75,0
2454,14.0,521.0,37.21,56.78,0.143,0.36,9.0,15.88,,0.0,9.0,,0
2455,18.0,601.0,,21.76,0.222,0.5,8.37,20.7,,0.0,,0.5,0
2456,,1035.0,73.93,113.88,0.429,0.71,5.68,,,0.0,9.0,0.57,0
2457,12.0,479.0,39.92,32.3,0.583,0.42,17.1,23.08,,,9.0,0.25,0
2458,12.0,,87.08,,,0.33,10.5,,2.17,0.0,9.0,0.92,0
2459,17.0,480.0,,32.77,0.706,0.41,0.58,23.35,,0.0,9.0,,0
2460,14.0,588.0,42.0,26.7,,0.14,,14.13,,1.6,5.43,0.86,0
2461,,1577.0,41.5,43.14,0.447,,0.73,,7.31,0.0,9.0,0.24,0
2462,14.0,957.0,68.36,49.23,0.5710000000000001,0.86,9.97,23.35,3.63,0.0,,0.71,0
2463,18.0,2999.0,166.61,277.04,,0.11,,18.93,2.77,0.0,9.0,0.83,0
2464,12.0,3925.0,,656.72,0.417,0.17,5.9,21.82,3.72,,6.5,0.83,0
2465,,4242.0,212.1,344.55,0.05,0.1,11.5,22.18,3.29,0.47,8.3,,0
2466,13.0,,41.31,46.66,,0.69,12.88,23.08,3.38,,9.0,0.77,0
2467,,1905.0,95.25,121.62,0.15,0.1,14.35,22.8,3.49,0.0,9.0,0.4,0
2468,,1387.0,77.06,45.51,0.0559999999999999,0.06,18.08,20.75,,0.0,5.0,0.0,0
2469,11.0,,107.0,,0.545,0.55,10.85,20.53,3.49,0.3,8.91,0.36,0
2470,15.0,543.0,36.2,33.47,0.267,0.8,19.4,22.07,0.87,,9.0,0.0,0
2471,51.0,,44.57,46.44,0.098,0.98,13.05,17.1,,0.0,,1.0,0
2472,14.0,548.0,,36.76,0.357,0.5,,19.18,4.31,0.0,,0.64,0
2473,13.0,527.0,,,,0.54,8.8,21.4,4.79,2.19,7.85,0.38,0
2474,12.0,262.0,21.83,20.21,0.583,,11.1,,3.51,0.9,8.5,0.08,0
2475,,485.0,34.64,21.66,0.214,0.5,5.98,23.62,6.16,0.53,,0.29,0
2476,14.0,674.0,48.14,24.0,0.071,0.07,15.22,17.72,0.87,0.0,8.0,1.0,0
2477,74.0,3472.0,,55.36,0.054,0.99,10.55,19.67,2.01,0.23,8.97,0.95,1
2478,,,36.09,,0.273,0.36,11.87,12.88,0.34,,6.45,,0
2479,,203.0,15.62,18.51,0.6920000000000001,0.08,14.07,,3.29,0.0,9.0,,0
2480,11.0,336.0,,23.89,0.273,0.73,10.57,21.43,2.48,,8.18,0.91,0
2481,13.0,613.0,47.15,41.68,0.5379999999999999,0.54,0.28,23.03,,0.0,9.0,0.38,0
2482,16.0,1083.0,67.69,,0.125,0.5,7.17,22.48,4.18,0.5,8.88,0.69,0
2483,,33649.0,,587.16,0.005,0.96,0.08,23.93,4.98,,,,0
2484,,1378.0,98.43,,,0.57,11.75,17.8,2.05,0.0,9.0,1.0,0
2485,,,30.53,27.11,,1.0,9.93,13.32,,0.0,,0.93,1
2486,,,43.75,73.29,0.417,0.58,5.97,,,,8.5,0.58,0
2487,74.0,5212.0,70.43,104.55,0.108,0.97,12.68,21.93,,,7.72,0.47,1
2488,13.0,499.0,,,0.6920000000000001,0.54,9.2,23.25,,0.75,8.69,0.31,0
2489,11.0,,66.27,63.64,0.455,0.82,15.57,,0.28,0.0,7.0,1.0,0
2490,11.0,801.0,72.82,27.9,0.182,1.0,18.98,23.7,1.51,,9.0,0.0,0
2491,25.0,1478.0,59.12,56.68,0.16,0.4,14.73,22.62,,1.29,,,0
2492,,901.0,,30.62,0.737,,6.72,22.73,5.82,0.0,9.0,,0
2493,21.0,,,44.69,,,9.67,21.47,3.49,0.22,8.95,0.62,0
2494,,2602.0,,24.94,0.035,,10.9,16.25,1.39,0.0,9.0,1.0,1
2495,38.0,1322.0,34.79,35.66,0.158,0.84,9.22,15.12,1.75,0.0,,,0
2496,15.0,3177.0,211.8,,0.067,0.47,22.13,23.35,0.34,0.0,11.0,0.0,0
2497,13.0,359.0,27.62,20.69,0.846,0.31,4.58,19.25,6.29,,9.0,,0
2498,88.0,2796.0,,,0.068,0.98,14.75,20.9,2.04,0.0,9.0,0.45,1
2499,,800.0,72.73,148.49,,,9.12,,5.67,3.44,8.27,0.27,0
2500,14.0,1075.0,76.79,91.52,0.5710000000000001,0.57,8.37,22.53,5.6,,8.64,0.36,0
